ID_OP;ID_Operador;ID_Ocorrencia;ID_Recurso;DataHoraInicial;DataHoraFinal;QtdeProduzida;QtdeRefugada
39721;1476;51;PF-09;24/01/2020 10:30:02;24/01/2020 11:00:19;0;0
39972;1475;9;PF-03;24/01/2020 07:00:22;24/01/2020 11:00:55;834;15
40001;1432;51;PF-10;27/01/2020 10:30:22;27/01/2020 11:01:07;0;0
40001;1432;;PF-10;27/01/2020 11:10:22;27/01/2020 12:00:53;70;0
40001;1467;;PF-10;27/01/2020 11:00:22;27/01/2020 11:10:37;0;0
40001;1432;;PF-10;27/01/2020 13:00:22;27/01/2020 15:00:45;134;0
40042;1338;51;SA;27/01/2020 10:00:17;27/01/2020 10:05:59;0;0
40042;477;61;SA;27/01/2020 10:05:17;27/01/2020 10:08:05;0;0
40042;1338;;SA;27/01/2020 10:07:17;27/01/2020 10:20:42;40;0
39732;954;51;sr;27/01/2020 08:30:22;27/01/2020 08:41:11;0;0
39732;477;61;sr;27/01/2020 08:40:22;27/01/2020 08:43:33;0;0
39732;954;;sr;27/01/2020 08:43:22;27/01/2020 10:56:06;1122;0
39512;1338;51;SA;27/01/2020 10:00:22;27/01/2020 10:06:14;0;0
39512;477;61;SA;27/01/2020 10:05:22;27/01/2020 10:07:58;0;0
39512;1338;;SA;27/01/2020 10:07:22;27/01/2020 10:16:12;102;0
39116;1338;51;SA;27/01/2020 13:00:22;27/01/2020 13:06:08;0;0
39116;477;61;SA;27/01/2020 13:07:22;27/01/2020 15:30:46;0;0
39116;1338;;SA;27/01/2020 13:07:04;27/01/2020 15:30:53;2040;0
40042;1338;;SA-02;27/01/2020 15:00:00;27/01/2020 15:07:24;3;0
39732;954;;sc;27/01/2020 08:43:42;27/01/2020 08:51:04;8;0
40002;1338;51;SA;27/01/2020 08:00:02;27/01/2020 08:05:33;0;0
40002;477;61;SA;27/01/2020 08:05:02;27/01/2020 08:08:29;0;0
40006;1338;51;SA;27/01/2020 09:00:02;27/01/2020 09:05:34;0;0
40006;477;61;SA;27/01/2020 09:05:02;27/01/2020 09:07:23;0;0
40002;1338;;SA;27/01/2020 08:08:02;27/01/2020 08:30:45;204;0
40006;1338;;SA;27/01/2020 09:07:02;27/01/2020 09:35:26;204;0
39700;1476;51;SA;27/01/2020 09:00:02;27/01/2020 09:25:52;0;0
39700;1467;61;SA;27/01/2020 09:25:02;27/01/2020 09:30:55;0;0
39115;1478;51;PF-04;27/01/2020 13:30:33;27/01/2020 14:16:09;0;0
39115;1467;61;PF-04;27/01/2020 14:15:33;27/01/2020 14:20:43;0;0
39115;1478;;PF-04;27/01/2020 14:20:33;27/01/2020 17:01:02;600;0
39512;1338;;SA;27/01/2020 10:15:22;27/01/2020 10:17:58;8;0
39511;1481;51;PF-01;27/01/2020 11:05:22;27/01/2020 11:20:47;0;0
39511;1467;61;PF-01;27/01/2020 11:20:22;27/01/2020 11:25:45;0;0
39511;1481;;PF-01;27/01/2020 11:25:22;27/01/2020 12:00:50;108;0
39721;1467;61;;27/01/2020 07:10:02;27/01/2020 07:30:53;0;0
39721;1476;4;PF-09;27/01/2020 07:10:02;27/01/2020 08:55:29;371;3
39731;1476;51;PF-11;27/01/2020 16:30:22;28/01/2020 09:45:24;0;0
39803;1432;51;PF-10;27/01/2020 15:00:22;27/01/2020 15:51:01;0;0
39803;1467;61;PF-10;27/01/2020 15:50:22;27/01/2020 15:55:33;0;0
39803;1432;;PF-10;27/01/2020 15:55:22;27/01/2020 17:00:54;40;0
39972;1475;9;PF-03;27/01/2020 07:00:22;27/01/2020 10:45:40;863;9
39972;1466;;PF-03;27/01/2020 11:15:22;27/01/2020 12:00:51;192;0
39972;1466;;PF-03;27/01/2020 13:00:22;27/01/2020 17:00:54;711;0
38121;1475;;PF-11;27/01/2020 11:15:22;27/01/2020 12:01:14;102;0
38121;1475;;PF-11;27/01/2020 13:00:22;27/01/2020 17:01:12;628;0
39093;1338;;SA-02;28/01/2020 14:07:31;28/01/2020 15:20:55;7;0
39092;1432;51;PF-09;28/01/2020 11:00:31;28/01/2020 11:30:47;0;0
39092;1467;61;PF-09;28/01/2020 11:30:31;28/01/2020 11:36:26;0;0
39092;1432;;PF-09;28/01/2020 11:35:31;28/01/2020 12:00:45;100;0
39092;1432;;PF-09;28/01/2020 13:00:31;28/01/2020 15:31:04;540;0
39092;1466;;PF-09;28/01/2020 15:30:31;28/01/2020 17:01:23;300;0
39822;1432;;PF-10;28/01/2020 08:50:00;28/01/2020 09:50:16;116;0
39938;1338;51;SA;28/01/2020 14:00:17;28/01/2020 14:05:48;0;0
39938;477;61;SA;28/01/2020 14:05:17;28/01/2020 14:07:10;0;0
39938;1338;;SA;28/01/2020 14:07:17;28/01/2020 15:00:22;510;0
39923;477;61;SA;28/01/2020 16:05:17;29/01/2020 08:52:29;0;0
39923;1338;;SA;28/01/2020 16:07:17;28/01/2020 16:20:47;306;0
39093;1338;51;SA;28/01/2020 14:00:17;28/01/2020 14:05:58;0;0
39093;477;61;SA;28/01/2020 14:05:17;28/01/2020 14:07:27;0;0
39093;1338;;SA;28/01/2020 14:07:17;28/01/2020 15:20:25;1020;0
40042;477;51;;28/01/2020 15:00:17;28/01/2020 15:07:50;0;0
40042;1338;;SA;28/01/2020 15:00:17;28/01/2020 15:07:50;11;0
40048;1338;51;SA;28/01/2020 13:00:17;29/01/2020 04:45:29;0;0
40048;477;51;;28/01/2020 13:13:07;28/01/2020 13:25:35;0;0
40048;477;61;SA;28/01/2020 13:05:17;28/01/2020 13:07:49;0;0
40048;1338;;SA;28/01/2020 13:13:07;28/01/2020 13:25:27;306;0
39963;1338;51;SA;28/01/2020 15:00:17;28/01/2020 15:05:54;0;0
39963;477;51;;28/01/2020 15:07:17;28/01/2020 15:30:53;0;0
39963;477;61;SA;28/01/2020 15:05:17;28/01/2020 15:08:06;0;0
39963;1338;;SA;28/01/2020 15:07:17;28/01/2020 15:30:50;306;0
39928;1338;51;SA;28/01/2020 15:00:17;28/01/2020 15:05:49;0;0
39928;477;61;SA;28/01/2020 15:05:17;28/01/2020 15:07:34;0;0
39928;1338;;SA;28/01/2020 15:07:17;28/01/2020 15:31:12;306;0
40016;1338;;SA-02;28/01/2020 14:07:56;28/01/2020 14:36:47;12;0
39937;1466;51;PF-01;28/01/2020 15:30:33;28/01/2020 15:35:53;0;0
39937;477;61;PF-01;28/01/2020 15:35:33;28/01/2020 15:41:06;0;0
39937;1466;9;PF-01;28/01/2020 15:40:33;28/01/2020 17:00:50;320;8
39731;1476;;PF-11;28/01/2020 13:15:42;28/01/2020 13:31:36;8;0
39083;1432;51;PF-10;28/01/2020 15:30:31;28/01/2020 16:10:45;0;0
39083;1432;21;PF-10;28/01/2020 16:10:31;28/01/2020 16:40:48;0;0
39083;477;61;PF-10;28/01/2020 16:40:31;28/01/2020 17:01:07;0;0
40047;1481;51;PF-03;28/01/2020 13:55:31;28/01/2020 14:21:08;0;0
40047;477;61;PF-03;28/01/2020 14:20:31;28/01/2020 14:25:45;0;0
40047;1481;9;PF-03;28/01/2020 14:25:31;28/01/2020 15:36:12;306;3
40016;1338;51;SA-02;28/01/2020 14:00:17;29/01/2020 08:50:16;0;0
40016;477;61;SA-02;28/01/2020 14:07:17;29/01/2020 04:52:38;0;0
40016;1338;;SA-02;28/01/2020 14:07:17;29/01/2020 05:20:39;120;0
38990;1467;61;PF-07;28/01/2020 09:15:17;28/01/2020 09:20:28;0;0
38990;1475;;PF-07;28/01/2020 09:20:17;28/01/2020 12:00:49;437;0
38990;1466;;PF-07;28/01/2020 12:00:00;28/01/2020 13:00:43;180;0
38990;1475;;PF-07;28/01/2020 13:00:00;28/01/2020 17:00:55;630;0
39731;1467;61;PF-11;28/01/2020 07:00:22;28/01/2020 07:06:04;0;0
39731;1476;31;;28/01/2020 08:35:22;28/01/2020 09:35:53;0;0
39731;1476;;PF-11;28/01/2020 07:05:22;28/01/2020 08:35:32;351;0
39731;1476;4;PF-11;28/01/2020 09:35:22;28/01/2020 12:00:36;700;1
39731;1476;31;PF-11;28/01/2020 13:00:22;28/01/2020 13:15:52;0;0
39731;1476;;PF-11;28/01/2020 13:15:22;28/01/2020 13:40:34;75;0
39822;1467;61;PF-10;28/01/2020 07:50:22;28/01/2020 07:56:16;0;0
39822;1432;32;PF-10;28/01/2020 07:55:22;28/01/2020 08:50:45;0;0
39803;1432;;PF-10;28/01/2020 07:00:22;28/01/2020 07:50:59;62;0
39927;1481;51;PF-03;28/01/2020 15:35:17;28/01/2020 16:15:45;0;0
39927;1467;61;PF-03;28/01/2020 15:15:17;28/01/2020 16:20:29;0;0
39927;1481;9;PF-03;28/01/2020 16:20:17;28/01/2020 17:00:40;120;3
39972;1466;21;PF-03;28/01/2020 09:30:22;28/01/2020 10:01:01;141;0
39972;1466;;PF-03;28/01/2020 07:00:22;28/01/2020 09:31:04;505;0
38121;1475;;PF-11;28/01/2020 07:00:22;28/01/2020 09:16:09;365;0
39092;1383;;PF-09;29/01/2020 07:00:31;29/01/2020 07:20:51;87;0
39316;1476;51;PF-11;29/01/2020 13:00:31;31/01/2020 10:16:03;0;0
39347;1338;;SA-02;29/01/2020 13:07:00;29/01/2020 13:10:52;3;0
39346;1383;51;PF-09;29/01/2020 15:25:00;29/01/2020 15:45:10;0;0
39346;1383;22;PF-09;29/01/2020 15:15:00;29/01/2020 15:25:46;0;0
39346;477;61;PF-09;29/01/2020 15:45:00;29/01/2020 15:50:27;0;0
39346;1383;;PF-09;29/01/2020 15:50:00;29/01/2020 17:00:33;215;0
39923;1338;51;SA;29/01/2020 16:00:17;29/01/2020 16:05:41;0;0
39943;1338;51;SA;29/01/2020 07:00:17;29/01/2020 07:05:38;0;0
39943;477;61;SA;29/01/2020 07:05:17;29/01/2020 07:07:57;0;0
39943;1338;;SA;29/01/2020 07:07:17;29/01/2020 07:35:45;510;0
39922;477;61;PF-01;29/01/2020 07:35:33;29/01/2020 07:41:10;0;0
39922;1466;;PF-01;29/01/2020 07:40:33;29/01/2020 08:50:54;306;0
40011;1338;;SA-02;29/01/2020 15:07:56;29/01/2020 15:21:31;6;0
39937;1466;9;PF-01;29/01/2020 07:00:33;29/01/2020 07:36:04;190;5
39163;1338;51;SA;29/01/2020 10:00:17;29/01/2020 10:06:00;0;0
39163;477;61;SA;29/01/2020 10:05:17;29/01/2020 10:07:46;0;0
39163;477;51;;29/01/2020 10:07:17;29/01/2020 11:00:33;0;0
39163;1338;;SA;29/01/2020 10:07:17;29/01/2020 11:00:15;1020;0
39866;1338;51;SA-02;29/01/2020 14:00:33;29/01/2020 14:06:25;0;0
39866;477;61;SA-02;29/01/2020 14:05:33;29/01/2020 14:07:55;0;0
40011;1338;51;SA-02;29/01/2020 15:00:33;29/01/2020 15:06:09;0;0
39866;1338;;SA-02;29/01/2020 14:07:33;29/01/2020 14:26:15;204;0
40011;477;61;SA-02;29/01/2020 15:05:33;29/01/2020 15:08:20;0;0
40011;1338;;SA-02;29/01/2020 15:07:33;29/01/2020 15:20:57;102;0
39953;1338;51;SA-01;29/01/2020 16:00:33;29/01/2020 16:05:49;0;0
39953;477;61;SA-01;29/01/2020 16:05:33;29/01/2020 16:08:28;0;0
39933;1338;51;SA-01;29/01/2020 16:20:33;29/01/2020 16:26:23;0;0
39953;1338;;SA-01;29/01/2020 16:07:33;29/01/2020 16:25:51;102;0
39933;477;61;SA-01;29/01/2020 16:25:33;29/01/2020 16:28:28;0;0
39933;1338;;SA-01;29/01/2020 16:27:33;29/01/2020 16:41:26;102;0
39968;1338;51;SA-01;29/01/2020 16:00:33;29/01/2020 16:06:23;0;0
39968;477;61;SA-01;29/01/2020 16:05:33;29/01/2020 16:07:58;0;0
39968;1338;;SA-01;29/01/2020 16:07:33;29/01/2020 16:21:18;102;0
39958;1338;;SA-01;29/01/2020 15:10:56;29/01/2020 15:21:13;2;0
39958;1338;51;SA-01;29/01/2020 15:00:00;29/01/2020 15:06:06;0;0
39958;477;61;SA-01;29/01/2020 15:05:00;29/01/2020 15:08:14;0;0
39958;1338;;SA-01;29/01/2020 15:07:00;29/01/2020 15:20:46;102;0
39942;1476;51;PF-04;29/01/2020 07:00:56;29/01/2020 07:31:25;0;0
39347;1338;51;SA-02;29/01/2020 13:00:33;29/01/2020 13:05:50;0;0
39347;477;61;SA-02;29/01/2020 13:05:33;29/01/2020 13:08:08;0;0
39347;1338;;SA-02;29/01/2020 13:07:33;29/01/2020 13:51:20;306;0
39338;477;61;PF-09;29/01/2020 07:20:00;29/01/2020 07:26:12;0;0
39338;1383;6;PF-09;29/01/2020 08:40:00;29/01/2020 12:00:42;670;10
39338;1383;21;PF-09;29/01/2020 07:25:00;29/01/2020 08:41:01;0;0
39338;1383;6;PF-09;29/01/2020 13:00:00;29/01/2020 15:15:49;350;10
39337;1390;51;PE;29/01/2020 16:05:42;29/01/2020 16:26:30;0;0
39337;477;61;PE;29/01/2020 16:25:42;29/01/2020 16:31:16;0;0
39337;1390;;PE;29/01/2020 16:30:42;29/01/2020 17:01:37;140;0
39336;1291;51;PE;29/01/2020 08:50:00;29/01/2020 09:05:25;0;0
39336;1467;61;PE;29/01/2020 09:05:00;29/01/2020 09:10:27;0;0
39084;1338;51;SA-02;29/01/2020 09:00:31;29/01/2020 09:05:55;0;0
39084;477;61;SA-02;29/01/2020 09:05:31;29/01/2020 09:07:53;0;0
39084;1338;;SA-02;29/01/2020 09:07:31;29/01/2020 10:31:23;981;0
39083;1432;;PF-10;29/01/2020 07:00:31;29/01/2020 10:01:00;411;0
39083;1432;21;PF-10;29/01/2020 10:00:31;29/01/2020 10:30:46;0;0
39083;1432;;PF-10;29/01/2020 10:30:31;29/01/2020 12:00:41;200;0
39083;1432;;PF-10;29/01/2020 13:00:31;29/01/2020 16:01:24;360;0
39948;1338;51;SA-01;29/01/2020 11:00:17;29/01/2020 11:05:27;0;0
39948;477;51;SA-01;29/01/2020 11:05:17;29/01/2020 11:10:54;0;0
39948;1338;;SA-01;29/01/2020 11:10:17;29/01/2020 11:50:38;510;0
39339;1338;51;SA-02;29/01/2020 10:00:17;29/01/2020 10:06:27;0;0
39339;477;61;SA-02;29/01/2020 10:05:17;29/01/2020 10:08:31;0;0
39339;1338;;SA-02;29/01/2020 10:07:17;29/01/2020 11:51:28;1020;0
39162;1481;51;PF-03;29/01/2020 09:20:29;29/01/2020 09:51:23;0;0
38990;1475;;PF-07;29/01/2020 08:20:00;29/01/2020 09:00:38;61;0
38990;1475;;PF-07;29/01/2020 09:30:00;29/01/2020 10:01:02;147;0
39162;1467;61;PF-03;29/01/2020 13:15:29;29/01/2020 13:20:41;0;0
39162;1475;;PF-03;29/01/2020 13:20:29;29/01/2020 17:01:12;633;0
39161;1291;51;PE;29/01/2020 15:15:29;29/01/2020 15:31:05;0;0
39161;477;61;PE;29/01/2020 15:30:29;29/01/2020 15:32:51;0;0
39161;1457;;PE;29/01/2020 15:40:29;29/01/2020 17:00:39;269;0
39948;1338;;SA-01;29/01/2020 11:10:00;29/01/2020 11:15:44;10;0
39968;1338;;SA-01;29/01/2020 16:07:29;29/01/2020 16:21:10;12;0
39866;477;51;;29/01/2020 14:07:29;29/01/2020 14:26:21;0;0
39866;1338;;SA-02;29/01/2020 14:07:29;29/01/2020 14:26:21;6;0
39927;1481;9;PF-03;29/01/2020 07:00:17;29/01/2020 07:35:30;186;3
39962;1481;9;PF-03;29/01/2020 07:40:17;29/01/2020 09:00:57;306;29
39962;477;61;PF-03;29/01/2020 07:35:17;29/01/2020 07:40:59;0;0
39517;477;61;SA-02;30/01/2020 07:05:31;31/01/2020 01:53:06;0;0
39517;1338;;SA-02;30/01/2020 07:07:31;30/01/2020 07:36:16;85;0
39517;1338;51;;30/01/2020 07:07:31;30/01/2020 07:36:23;0;0
38528;1338;51;SA-02;30/01/2020 15:00:31;30/01/2020 15:06:16;0;0
38528;477;61;SA-02;30/01/2020 15:05:31;30/01/2020 15:08:10;0;0
38528;1338;;SA-02;30/01/2020 15:07:31;30/01/2020 15:51:18;566;0
39346;1383;;PF-09;30/01/2020 07:00:00;30/01/2020 07:40:45;94;0
39345;477;61;PE-10;30/01/2020 09:50:00;30/01/2020 09:52:50;0;0
39345;1390;;PE-10;30/01/2020 09:52:00;30/01/2020 11:10:25;309;0
39527;1338;51;SA-02;30/01/2020 15:00:31;30/01/2020 15:06:14;0;0
39527;477;61;SA-02;30/01/2020 15:05:31;30/01/2020 15:07:49;0;0
39527;1338;;SA-02;30/01/2020 15:07:31;30/01/2020 15:26:23;122;0
39896;1338;51;SA-02;30/01/2020 14:00:31;30/01/2020 14:06:15;0;0
39896;477;61;SA-02;30/01/2020 14:05:31;30/01/2020 14:07:56;0;0
39896;1338;;SA-02;30/01/2020 14:07:31;30/01/2020 14:31:02;163;0
39907;1338;51;SA-02;30/01/2020 13:00:31;30/01/2020 13:05:46;0;0
39907;477;61;SA-02;30/01/2020 13:05:31;30/01/2020 13:08:21;0;0
39907;1338;;SA-02;30/01/2020 13:07:31;30/01/2020 13:21:17;102;0
39890;1338;51;SA-02;30/01/2020 10:00:31;31/01/2020 05:51:06;0;0
39890;477;61;SA-02;30/01/2020 10:05:31;31/01/2020 02:53:05;0;0
39890;1338;;SA-02;30/01/2020 10:07:31;31/01/2020 00:10:51;81;0
39871;1338;51;SA-02;30/01/2020 11:00:31;30/01/2020 11:06:17;0;0
39871;477;61;SA-02;30/01/2020 11:05:31;30/01/2020 11:08:26;0;0
39871;1338;;SA-02;30/01/2020 11:07:31;30/01/2020 11:45:58;408;0
39878;1338;51;SA-02;30/01/2020 09:00:31;30/01/2020 09:05:45;0;0
39878;477;61;SA-02;30/01/2020 09:05:31;30/01/2020 09:07:47;0;0
39878;1338;;SA-02;30/01/2020 09:07:31;30/01/2020 09:50:49;357;0
39883;1338;51;SA-02;30/01/2020 07:00:31;30/01/2020 07:06:16;0;0
39883;477;61;SA-02;30/01/2020 07:05:31;30/01/2020 07:08:12;0;0
39883;1338;;SA-02;30/01/2020 07:07:31;30/01/2020 08:00:47;714;0
38527;1466;22;;30/01/2020 14:40:00;30/01/2020 15:20:29;0;0
38527;1466;51;PF-04;30/01/2020 15:20:00;30/01/2020 15:50:32;0;0
38527;477;61;PF-04;30/01/2020 15:50:00;30/01/2020 16:00:44;0;0
38527;1466;;PF-04;30/01/2020 16:00:00;30/01/2020 17:00:37;132;0
38526;1291;51;PE-06;30/01/2020 16:00:00;30/01/2020 16:15:52;0;0
39952;1358;51;PF-04;30/01/2020 09:25:56;30/01/2020 09:55:39;0;0
39952;1467;61;PF-04;30/01/2020 09:55:56;30/01/2020 10:00:38;0;0
39952;1358;;PF-04;30/01/2020 09:55:56;30/01/2020 10:00:56;102;1
39516;1383;51;PF-09;30/01/2020 09:25:02;30/01/2020 10:11:47;0;0
39516;1383;4;PF-09;30/01/2020 10:15:02;30/01/2020 10:51:38;85;1
40015;1432;;PF-10;30/01/2020 07:00:56;30/01/2020 09:01:14;105;4
39896;1338;;SA-02;30/01/2020 10:00:42;30/01/2020 10:11:22;3;0
40010;1389;51;PF-09;30/01/2020 07:45:56;30/01/2020 08:31:44;0;0
40010;1383;;PF-09;30/01/2020 08:35:56;30/01/2020 09:21:18;108;0
39957;1358;51;PF-04;30/01/2020 08:00:56;31/01/2020 01:06:25;0;0
39957;477;61;PF-04;30/01/2020 08:20:56;30/01/2020 22:11:01;0;0
39957;1358;21;PF-04;30/01/2020 09:00:56;30/01/2020 09:21:24;0;0
39957;1358;;PF-04;30/01/2020 08:25:56;31/01/2020 01:46:24;99;0
39957;1358;;PF-04;30/01/2020 09:20:56;30/01/2020 09:26:28;5;0
39337;1390;;PE;30/01/2020 07:00:42;30/01/2020 09:51:30;860;0
39336;1390;;PE;30/01/2020 09:50:00;30/01/2020 11:30:12;1000;0
39334;642;51;CNC;30/01/2020 15:20:42;30/01/2020 16:01:32;0;0
39334;1467;61;CNC;30/01/2020 16:00:59;30/01/2020 16:05:49;0;0
39334;1428;;CNC;30/01/2020 16:10:00;30/01/2020 17:00:18;41;0
40041;1383;51;PF-09;30/01/2020 10:50:00;30/01/2020 11:30:17;0;0
39333;529;51;FB;30/01/2020 07:00:00;30/01/2020 07:50:31;0;0
40041;1467;61;PF-09;30/01/2020 11:30:00;30/01/2020 12:00:33;0;0
40041;1383;;PF-09;30/01/2020 13:00:00;30/01/2020 13:30:14;27;0
40040;1291;51;PE-07;30/01/2020 14:30:00;30/01/2020 14:45:23;0;0
39333;1467;61;FB;30/01/2020 07:50:00;30/01/2020 07:55:36;0;0
40040;1467;61;PE-07;30/01/2020 14:45:00;30/01/2020 14:50:19;0;0
39333;594;;FB;30/01/2020 07:55:00;30/01/2020 12:00:11;150;0
40041;1383;;PF-09;30/01/2020 11:35:00;30/01/2020 12:00:50;27;0
40040;1291;;PE-07;30/01/2020 14:50:00;30/01/2020 15:05:42;54;0
39162;1475;;PF-03;30/01/2020 07:00:29;30/01/2020 09:16:06;367;0
39162;1475;21;PF-03;30/01/2020 09:15:29;30/01/2020 09:25:53;0;0
39162;1475;;PF-03;30/01/2020 09:25:29;30/01/2020 09:36:08;26;0
39161;477;51;;30/01/2020 09:10:29;30/01/2020 11:26:02;0;0
39161;594;;PE;30/01/2020 09:10:29;30/01/2020 11:26:09;717;0
39161;1457;;PE;30/01/2020 07:00:29;30/01/2020 07:10:48;40;0
39932;1475;51;PF-07;30/01/2020 11:01:00;30/01/2020 12:00:13;0;0
